metric,area,comp,suff
mae,0.05,10.404871,24.90234
mae,0.075,13.224873,23.396891
mae,0.1,14.528364,22.770871
mae,0.15,16.875761,21.785784
mse,0.05,7.813089,37.24804
mse,0.075,12.079306,33.542279
mse,0.1,14.378636,32.051557
mse,0.15,18.982706,29.750583
